,id,primary_name,prefix,name,public_references,collection_date
0,1,Annals of Family Medicine,10.1370,Annals of Family Medicine,False,20211223
2,2,American Association of Petroleum Geologists AAPG/Datapages,10.1306,AAPG/Datapages,False,20211223
3,2,American Association of Petroleum Geologists AAPG/Datapages,10.15530,AAPG/Datapages,False,20211223
5,3,American Association of Physics Teachers (AAPT),10.1119,American Association of Physics Teachers,False,20211223
7,6,American College of Medical Physics (ACMP),10.1120,American College of Medical Physics,False,20211223
9,9,Allen Press,10.1043,Allen Press,False,20211223
11,10,American Medical Association (AMA),10.1001,American Medical Association,True,20211223
13,11,American Economic Association,10.1257,American Economic Association,False,20211223
15,12,American Meteorological Society,10.1175,American Meteorological Society,True,20211223
17,13,American Geophysical Union (AGU),10.1029,American Geophysical Union,True,20211223
19,14,American Mathematical Society (AMS),10.1090,American Mathematical Society,True,20211223
21,15,American Psychological Association (APA),10.5084,"Psychomusicology: Music, Mind and Brain",False,20211223
22,15,American Psychological Association (APA),10.1037,American Psychological Association,False,20211223
24,16,American Physical Society (APS),10.1103,American Physical Society,True,20211223
26,16,American Physical Society (APS),10.29172,American Physical Society (APS),False,20211223
27,17,American Scientific Publishers,10.1166,American Scientific Publishers,False,20211223
29,19,American Thoracic Society,10.1513,American Thoracic Society,True,20211223
31,19,American Thoracic Society,10.1164,American Thoracic Society,True,20211223
32,19,American Thoracic Society,10.1165,American Thoracic Society,True,20211223
33,19,American Thoracic Society,10.34197,ATS Scholar,True,20211223
34,20,American Vacuum Society,10.1116,American Vacuum Society,False,20211223
36,21,Medical Association of Nippon Medical School,10.1272,The Medical Association of Nippon Medical School,False,20211223
38,22,Annual Reviews,10.1146,Annual Reviews,False,20211223
40,23,American Pharmacists Association,10.21019,American Pharmacists Association,True,20211223
42,24,American Physiological Society,10.1152,American Physiological Society,True,20211223
44,25,Applied Probability Trust,10.1239,Applied Probability Trust,False,20211223
46,27,Association for Research in Vision and Ophthalmology (ARVO),10.1167,Association for Research in Vision and Ophthalmology (ARVO),False,20211223
48,28,American Society for Biochemistry & Molecular Biology (ASBMB),10.1194,"American Society for Biochemistry and Molecular Biology, Journal of Lipid Research",True,20211223
50,28,American Society for Biochemistry & Molecular Biology (ASBMB),10.1074,American Society for Biochemistry and Molecular Biology,True,20211223
51,30,American Society of Civil Engineers (ASCE),10.1061,American Society of Civil Engineers,True,20211223
53,32,American Society for Clinical Pathology (ASCP),10.1309,American Society for Clinical Pathology,False,20211223
55,33,ASME International,10.1115,ASME International ,True,20211223
57,36,American Society for Pharmacology & Experimental Therapeutics (ASPET),10.1124,American Society for Pharmacology & Experimental Therapeutics,True,20211223
59,37,American Society of Plant Biologists (ASPB),10.46678,Plant Biology iPosters,True,20211223
60,37,American Society of Plant Biologists (ASPB),10.1104,American Society of Plant Biologists,True,20211223
61,37,American Society of Plant Biologists (ASPB),10.1105,American Society of Plant Biologists,True,20211223
63,42,British Editorial Society of Bone & Joint Surgery,10.1302,British Editorial Society of Bone and Joint Surgery,True,20211223
65,45,British Institute of Radiology,10.1259,British Institute of Radiology,True,20211223
67,46,Blackhorse Publishing,10.1066,,False,20211223
69,50,Brill,10.1163,Brill,True,20211223
71,50,Brill,10.2959,Brill,True,20211223
72,56,Cambridge University Press (CUP),10.33774,Cambridge University Press pre-prints,True,20211223
