id,primary_name,prefix,name,public_references,collection_date
1,Annals of Family Medicine,10.1370,Annals of Family Medicine,False,2021-12-31 18:26:46.007492
2,American Association of Petroleum Geologists AAPG/Datapages,10.1306,AAPG/Datapages,False,2021-12-31 18:26:46.007492
2,American Association of Petroleum Geologists AAPG/Datapages,10.15530,AAPG/Datapages,False,2021-12-31 18:26:46.007492
3,American Association of Physics Teachers (AAPT),10.1119,American Association of Physics Teachers,False,2021-12-31 18:26:46.007492
6,American College of Medical Physics (ACMP),10.1120,American College of Medical Physics,False,2021-12-31 18:26:46.007492
9,Allen Press,10.1043,Allen Press,False,2021-12-31 18:26:46.007492
10,American Medical Association (AMA),10.1001,American Medical Association,True,2021-12-31 18:26:46.007492
11,American Economic Association,10.1257,American Economic Association,False,2021-12-31 18:26:46.007492
12,American Meteorological Society,10.1175,American Meteorological Society,True,2021-12-31 18:26:46.007492
13,American Geophysical Union (AGU),10.1029,American Geophysical Union,True,2021-12-31 18:26:46.007492
14,American Mathematical Society (AMS),10.1090,American Mathematical Society,True,2021-12-31 18:26:46.007492
15,American Psychological Association (APA),10.5084,"Psychomusicology: Music, Mind and Brain",False,2021-12-31 18:26:46.007492
15,American Psychological Association (APA),10.1037,American Psychological Association,False,2021-12-31 18:26:46.007492
16,American Physical Society (APS),10.1103,American Physical Society,True,2021-12-31 18:26:46.007492
16,American Physical Society (APS),10.29172,American Physical Society (APS),False,2021-12-31 18:26:46.007492
17,American Scientific Publishers,10.1166,American Scientific Publishers,False,2021-12-31 18:26:46.007492
19,American Thoracic Society,10.1513,American Thoracic Society,True,2021-12-31 18:26:46.007492
19,American Thoracic Society,10.1164,American Thoracic Society,True,2021-12-31 18:26:46.007492
19,American Thoracic Society,10.1165,American Thoracic Society,True,2021-12-31 18:26:46.007492
19,American Thoracic Society,10.34197,ATS Scholar,True,2021-12-31 18:26:46.007492
20,American Vacuum Society,10.1116,American Vacuum Society,False,2021-12-31 18:26:46.007492
21,Medical Association of Nippon Medical School,10.1272,The Medical Association of Nippon Medical School,False,2021-12-31 18:26:46.007492
22,Annual Reviews,10.1146,Annual Reviews,False,2021-12-31 18:26:46.007492
23,American Pharmacists Association,10.21019,American Pharmacists Association,True,2021-12-31 18:26:46.007492
24,American Physiological Society,10.1152,American Physiological Society,True,2021-12-31 18:26:46.007492
25,Applied Probability Trust,10.1239,Applied Probability Trust,False,2021-12-31 18:26:46.007492
27,Association for Research in Vision and Ophthalmology (ARVO),10.1167,Association for Research in Vision and Ophthalmology (ARVO),False,2021-12-31 18:26:46.007492
28,American Society for Biochemistry & Molecular Biology (ASBMB),10.1194,"American Society for Biochemistry and Molecular Biology, Journal of Lipid Research",True,2021-12-31 18:26:46.007492
28,American Society for Biochemistry & Molecular Biology (ASBMB),10.1074,American Society for Biochemistry and Molecular Biology,True,2021-12-31 18:26:46.007492
30,American Society of Civil Engineers (ASCE),10.1061,American Society of Civil Engineers,True,2021-12-31 18:26:46.007492
32,American Society for Clinical Pathology (ASCP),10.1309,American Society for Clinical Pathology,False,2021-12-31 18:26:46.007492
33,ASME International,10.1115,ASME International ,True,2021-12-31 18:26:46.007492
36,American Society for Pharmacology & Experimental Therapeutics (ASPET),10.1124,American Society for Pharmacology & Experimental Therapeutics,True,2021-12-31 18:26:46.007492
37,American Society of Plant Biologists (ASPB),10.46678,Plant Biology iPosters,True,2021-12-31 18:26:46.007492
37,American Society of Plant Biologists (ASPB),10.1104,American Society of Plant Biologists,True,2021-12-31 18:26:46.007492
37,American Society of Plant Biologists (ASPB),10.1105,American Society of Plant Biologists,True,2021-12-31 18:26:46.007492
42,British Editorial Society of Bone & Joint Surgery,10.1302,British Editorial Society of Bone and Joint Surgery,True,2021-12-31 18:26:46.007492
45,British Institute of Radiology,10.1259,British Institute of Radiology,True,2021-12-31 18:26:46.007492
46,Blackhorse Publishing,10.1066,,False,2021-12-31 18:26:46.007492
50,Brill,10.1163,Brill,True,2021-12-31 18:26:46.007492
50,Brill,10.2959,Brill,True,2021-12-31 18:26:46.007492
