,published_year,type,num_dois,num_objects,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_grid,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_grid,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_grid,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_sourceid,non_dois_has_venue_string
0,2022.0,,15871,18043,13340,14670,11150,10179,11248,14670,18043,18043,18043,18043,401,15683,15683,10813,0,0,0,0,12342,13456,10428,9474,10525,13456,15871,15871,15871,15871,380,14128,14128,10614,0,0,0,0,998,1214,722,705,723,1214,2172,2172,2172,2172,21,1555,1555,199,0,0,0,0
1,2022.0,Book,541,1191,231,390,269,259,269,390,1191,1191,1191,1191,158,991,991,38,0,0,0,0,10,128,73,69,73,128,541,541,541,541,10,421,421,9,0,0,0,0,221,262,196,190,196,262,650,650,650,650,148,570,570,29,0,0,0,0
2,2022.0,BookChapter,17273,17397,1919,3563,3145,2999,3168,3563,17397,17397,17397,17397,225,16212,16212,14276,0,0,0,0,1868,3555,3141,2995,3164,3555,17273,17273,17273,17273,221,16102,16102,14272,0,0,0,0,51,8,4,4,4,8,124,124,124,124,4,110,110,4,0,0,0,0
3,2022.0,Conference,636,678,606,573,620,600,623,573,678,678,678,678,112,660,660,597,0,0,0,0,585,564,589,569,592,564,636,636,636,636,112,620,620,594,0,0,0,0,21,9,31,31,31,9,42,42,42,42,0,40,40,3,0,0,0,0
4,2022.0,Dataset,6,9,7,0,0,0,0,0,9,9,9,9,0,9,9,0,0,0,0,0,4,0,0,0,0,0,6,6,6,6,0,6,6,0,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0,3,3,0,0,0,0,0
5,2022.0,Journal,64787,65668,58156,59970,57747,56931,57993,59970,65668,65668,65668,65668,7481,64918,64918,60483,65668,62380,65668,65668,57676,59472,57406,56600,57648,59472,64787,64787,64787,64787,7473,64145,64145,60425,64787,61521,64787,64787,480,498,341,331,345,498,881,881,881,881,8,773,773,58,881,859,881,881
6,2022.0,Patent,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2022.0,Repository,61,109,102,84,73,67,73,84,109,109,109,109,16,106,106,61,101,7,101,101,61,61,55,49,55,61,61,61,61,61,12,60,60,49,56,0,56,56,41,23,18,18,18,23,48,48,48,48,4,46,46,12,45,7,45,45
8,2022.0,Thesis,69,77,20,1,1,1,1,1,77,77,77,77,2,66,66,6,0,0,0,0,17,1,1,1,1,1,69,69,69,69,2,59,59,2,0,0,0,0,3,0,0,0,0,0,8,8,8,8,0,7,7,4,0,0,0,0
9,2021.0,,1701871,2577282,1183482,1090661,685805,649853,694328,1090661,2577282,2577282,2577282,2577282,130437,1736526,1736526,672759,0,0,0,0,841714,870798,589434,559121,595020,870798,1701871,1701871,1701871,1701871,119706,1285459,1285459,622127,0,0,0,0,341768,219863,96371,90732,99308,219863,875411,875411,875411,875411,10731,451067,451067,50632,0,0,0,0
