,published_year,type,field,num_dois,num_objects,objects_with_abstract,objects_with_affiliations,objects_with_affiliations_countrycode,objects_with_affiliations_grid,objects_with_affiliations_ror,objects_with_affiliations_sourceid,objects_with_affiliations_string,objects_with_authors,objects_with_authors_orcid,objects_with_authors_sequence,objects_with_authors_sourceid,objects_with_authors_string,objects_with_citations,objects_with_fields,objects_with_fields_mag,objects_with_references,objects_with_venue,objects_with_venue_issn,objects_with_venue_sourceid,objects_with_venue_string
0,2203.0,Journal,Medicine,6,6,0,0,0,0,0,0,0,6,0,6,6,6,0,6,6,0,6,6,6,6
1,2203.0,Journal,Psychology,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,2,2,2,2
2,2121.0,Book,,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
3,2121.0,Book,Political science,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
4,2121.0,Journal,Medicine,3,3,3,0,0,0,0,0,0,3,0,3,3,3,0,3,3,0,0,0,0,0
5,2121.0,Journal,Psychology,2,2,1,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0
6,2121.0,Journal,Sociology,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
7,2117.0,Journal,Business,5,5,0,0,0,0,0,0,0,5,0,5,5,5,0,5,5,0,0,0,0,0
8,2116.0,Journal,Business,9,9,0,0,0,0,0,0,0,9,0,9,9,9,0,9,9,0,0,0,0,0
9,2116.0,Journal,Political science,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
10,2116.0,Journal,Psychology,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0
11,2116.0,Journal,Sociology,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
12,2115.0,Journal,Business,10,10,0,0,0,0,0,0,0,10,0,10,10,10,0,10,10,0,0,0,0,0
13,2115.0,Journal,Computer science,5,5,0,0,0,0,0,0,0,5,0,5,5,5,0,5,5,0,0,0,0,0
14,2115.0,Journal,Economics,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
15,2115.0,Journal,Geography,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
16,2115.0,Journal,Political science,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
17,2115.0,Journal,Psychology,3,3,0,0,0,0,0,0,0,3,0,3,3,3,0,3,3,0,0,0,0,0
18,2115.0,Journal,Sociology,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0
19,2114.0,Journal,Business,9,9,0,0,0,0,0,0,0,9,0,9,9,9,0,9,9,0,0,0,0,0
20,2114.0,Journal,Computer science,8,8,0,0,0,0,0,0,0,8,0,8,8,8,0,8,8,0,0,0,0,0
21,2114.0,Journal,Economics,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
22,2114.0,Journal,Psychology,5,5,0,0,0,0,0,0,0,5,0,5,5,5,0,5,5,0,0,0,0,0
23,2114.0,Journal,Sociology,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0
24,2109.0,Journal,Biology,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1
25,2109.0,Journal,Medicine,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
26,2108.0,Journal,Art,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
27,2108.0,Journal,Biology,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0
28,2108.0,Journal,Computer science,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
29,2108.0,Journal,History,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
