,published_year,type,num_objects,num_dois,num_non_dois,objects_has_type,dois_has_type,non_dois_has_type,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_ror,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_orcid,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_issnl,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_ror,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_orcid,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_issnl,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_ror,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_orcid,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_issnl,non_dois_has_venue_sourceid,non_dois_has_venue_string
0,2203.0,journal-article,4,4,0,4,4,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,0,4,4,4,4,4,0,0,0,0,0,0,4,0,4,4,4,0,4,4,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2116.0,journal-article,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2109.0,journal-article,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2106.0,journal-article,2,2,0,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2103.0,journal-article,2,2,0,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2101.0,book-chapter,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2091.0,journal-article,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2088.0,journal-article,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2051.0,journal-article,9,9,0,9,9,0,0,0,0,0,0,0,9,0,9,9,9,0,6,6,0,0,0,0,0,8,0,0,0,0,0,0,9,0,9,9,9,0,6,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2048.0,journal-article,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2025.0,journal-article,3,3,0,3,3,0,0,1,1,1,1,1,3,0,3,3,3,0,2,2,0,0,0,0,0,2,0,1,1,1,1,1,3,0,3,3,3,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2024.0,journal-article,60,60,0,60,60,0,36,51,35,35,35,51,60,40,60,60,60,0,60,60,42,50,50,50,50,58,36,51,35,35,35,51,60,40,60,60,60,0,60,60,42,50,50,50,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2023.0,book,4,4,0,4,4,0,0,2,2,2,2,2,2,0,2,2,2,0,4,4,0,0,0,0,0,1,0,2,2,2,2,2,2,0,2,2,2,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2023.0,book-chapter,52,52,0,52,52,0,36,36,34,31,34,36,40,8,40,40,40,0,52,52,36,0,0,0,0,46,36,36,34,31,34,36,40,8,40,40,40,0,52,52,36,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2023.0,dataset,5,5,0,5,5,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2023.0,journal-article,85,85,0,85,85,0,28,29,25,24,26,29,85,26,85,85,85,0,85,85,10,78,78,78,78,85,28,29,25,24,26,29,85,26,85,85,85,0,85,85,10,78,78,78,78,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2023.0,monograph,8,8,0,8,8,0,1,5,5,5,5,5,7,0,7,7,7,0,8,8,0,0,0,0,0,1,1,5,5,5,5,5,7,0,7,7,7,0,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2022.0,,8928,6800,2128,0,0,0,5865,6468,4617,4399,4627,6468,8672,3548,8672,8672,8672,177,2955,2955,3830,1,1,1,1,4029,4886,5260,3899,3696,3909,5260,6544,2728,6544,6544,6544,157,1698,1698,3660,1,1,1,1,2648,979,1208,718,703,718,1208,2128,820,2128,2128,2128,20,1257,1257,170,0,0,0,0,1381
18,2022.0,book,3798,3166,632,3798,3166,632,634,454,322,315,322,454,2306,418,2382,2382,2306,163,3429,3429,41,53,53,53,53,770,413,194,129,127,129,194,1674,244,1750,1750,1674,16,2858,2858,12,53,53,53,53,768,221,260,193,188,193,260,632,174,632,632,632,147,571,571,29,0,0,0,0,2
