,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_grid,objects_has_affiliations_ror,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_orcid,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_issnl,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_grid,dois_has_affiliations_ror,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_orcid,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_issnl,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_grid,non_dois_has_affiliations_ror,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_orcid,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_issnl,non_dois_has_venue_sourceid,non_dois_has_venue_string
0,2022.0,,5115,4170,945,3350,2813,2802,2566,2563,2813,2813,2813,1592,2813,2813,2813,76,4199,4199,2168,0,0,0,0,0,2994,2497,2486,2260,2259,2497,2497,2497,1471,2497,2497,2497,68,3553,3553,2111,0,0,0,0,0,356,316,316,306,304,316,316,316,121,316,316,316,8,646,646,57,0,0,0,0,0
1,2022.0,Book,714,192,522,155,205,205,201,201,205,205,205,89,205,205,205,148,598,598,24,0,0,0,0,0,3,48,48,47,47,48,48,48,34,48,48,48,3,139,139,3,0,0,0,0,0,152,157,157,154,154,157,157,157,55,157,157,157,145,459,459,21,0,0,0,0,0
2,2022.0,BookChapter,9134,9093,41,677,1049,1042,1006,1005,1049,1049,1049,743,1049,1049,1049,95,8678,8678,7999,0,0,0,0,0,664,1049,1042,1006,1005,1049,1049,1049,743,1049,1049,1049,93,8641,8641,7995,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,37,37,4,0,0,0,0,0
3,2022.0,Conference,362,346,16,349,301,326,321,321,326,301,326,286,326,326,326,48,345,345,317,0,0,0,0,0,340,301,313,308,308,313,301,313,277,313,313,313,48,330,330,316,0,0,0,0,0,9,0,13,13,13,13,0,13,9,13,13,13,0,15,15,1,0,0,0,0,0
4,2022.0,Dataset,5,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,2022.0,Journal,21830,21389,441,17836,17863,17975,17835,17833,17986,17863,17986,16244,17986,17986,17986,1519,21578,21578,19512,21830,20524,20687,21830,21830,17585,17627,17738,17605,17603,17749,17627,17749,16129,17749,17749,17749,1515,21189,21189,19492,21389,20144,20255,21389,21389,251,236,237,230,230,237,236,237,115,237,237,237,4,389,389,20,441,380,432,441,441
6,2022.0,Repository,47,22,25,41,29,29,28,28,29,29,29,16,29,29,29,8,45,45,24,40,4,5,40,40,21,21,21,20,20,21,21,21,11,21,21,21,5,22,22,17,17,0,0,17,17,20,8,8,8,8,8,8,8,5,8,8,8,3,23,23,7,23,4,5,23,23
7,2022.0,Thesis,43,39,4,15,1,1,1,1,1,1,1,1,1,1,1,0,36,36,2,0,0,0,0,0,13,1,1,1,1,1,1,1,1,1,1,1,0,33,33,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0
8,2021.0,,1997471,1356931,640540,891627,551653,550324,534141,533673,553136,551653,553136,317451,553136,553136,553136,87943,1349196,1349196,530377,0,0,0,0,0,646833,475556,474785,461570,461199,476848,475556,476848,290812,476848,476848,476848,80994,1023187,1023187,493576,0,0,0,0,0,244794,76097,75539,72571,72474,76288,76097,76288,26639,76288,76288,76288,6949,326009,326009,36801,0,0,0,0,0
9,2021.0,Book,33426,13123,20303,5499,2540,2544,2501,2497,2550,2540,2550,1131,2550,2550,2550,4004,21439,21439,1216,0,0,0,0,0,1269,437,437,430,428,438,437,438,259,438,438,438,906,5034,5034,219,0,0,0,0,0,4230,2103,2107,2071,2069,2112,2103,2112,872,2112,2112,2112,3098,16405,16405,997,0,0,0,0,0
10,2021.0,BookChapter,198551,195201,3350,16847,20510,20478,19869,19858,20532,20510,20532,14736,20532,20532,20532,5645,122134,122134,50183,0,0,0,0,0,15854,20442,20410,19801,19790,20464,20442,20464,14694,20464,20464,20464,5561,120073,120073,49951,0,0,0,0,0,993,68,68,68,68,68,68,68,42,68,68,68,84,2061,2061,232,0,0,0,0,0
11,2021.0,Conference,121492,105950,15542,97033,85849,104519,102385,102340,104809,85849,104809,75357,104809,104809,104809,17769,118777,118777,86442,0,0,0,0,0,88982,81310,91272,89232,89195,91536,81310,91536,65123,91536,91536,91536,13712,103633,103633,80903,0,0,0,0,0,8051,4539,13247,13153,13145,13273,4539,13273,10234,13273,13273,13273,4057,15144,15144,5539,0,0,0,0,0
12,2021.0,Dataset,5966,3546,2420,1534,14,14,14,14,14,14,14,7,14,14,14,141,3212,3212,9,0,0,0,0,0,1168,14,14,14,14,14,14,14,7,14,14,14,127,2493,2493,8,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,14,719,719,1,0,0,0,0,0
13,2021.0,Journal,3069383,2929699,139684,2272422,2274509,2290071,2264056,2262925,2292265,2274509,2292265,2013053,2292265,2292265,2292265,860387,2959183,2959183,2298849,3069383,2792301,2886813,3069383,3069383,2205267,2244682,2260192,2235140,2234028,2262286,2244682,2262286,1995775,2262286,2262286,2262286,856385,2839445,2839445,2285524,2929699,2728451,2769810,2929699,2929699,67155,29827,29879,28916,28897,29979,29827,29979,17278,29979,29979,29979,4002,119738,119738,13325,139684,63850,117003,139684,139684
14,2021.0,Repository,242776,91908,150868,222497,138240,140822,139405,139358,140987,138240,140987,108475,140987,140987,140987,41291,238693,238693,172300,227511,2084,2905,227511,227511,83339,73931,74203,73433,73408,74271,73931,74271,61845,74271,74271,74271,16464,90781,90781,64644,85024,1726,1808,85024,85024,139158,64309,66619,65972,65950,66716,64309,66716,46630,66716,66716,66716,24827,147912,147912,107656,142487,358,1097,142487,142487
15,2021.0,Thesis,48235,16441,31794,18413,310,307,287,284,310,310,310,84,310,310,310,486,37773,37773,5806,0,0,0,0,0,4228,53,53,49,49,53,53,53,25,53,53,53,180,13322,13322,758,0,0,0,0,0,14185,257,254,238,235,257,257,257,59,257,257,257,306,24451,24451,5048,0,0,0,0,0
16,2020.0,,3767479,1921693,1845786,1503004,770772,768678,749012,748136,772703,770772,772703,424981,772703,772703,772703,317880,2462328,2462328,688119,0,0,0,0,0,905468,642545,641049,625214,624542,644137,642545,644137,377954,644137,644137,644137,278941,1421041,1421041,632794,0,0,0,0,0,597536,128227,127629,123798,123594,128566,128227,128566,47027,128566,128566,128566,38939,1041287,1041287,55325,0,0,0,0,0
17,2020.0,Book,62322,17305,45017,12554,4460,4464,4386,4371,4477,4460,4477,1967,4477,4477,4477,11581,40182,40182,2109,0,0,0,0,0,2815,830,839,820,820,841,830,841,452,841,841,841,3294,6883,6883,397,0,0,0,0,0,9739,3630,3625,3566,3551,3636,3630,3636,1515,3636,3636,3636,8287,33299,33299,1712,0,0,0,0,0
18,2020.0,BookChapter,251276,238178,13098,25783,26398,26362,25626,25600,26434,26398,26434,18625,26434,26434,26434,19400,143255,143255,50370,0,0,0,0,0,22553,26207,26171,25437,25411,26243,26207,26243,18508,26243,26243,26243,18992,135665,135665,49958,0,0,0,0,0,3230,191,191,189,189,191,191,191,117,191,191,191,408,7590,7590,412,0,0,0,0,0
19,2020.0,Conference,220271,203353,16918,193040,172426,193188,189836,189724,193683,172426,193683,141210,193683,193683,193683,85335,215146,215146,176700,0,0,0,0,0,183121,167909,178736,175479,175370,179215,167909,179215,130504,179215,179215,179215,76829,198959,198959,170520,0,0,0,0,0,9919,4517,14452,14357,14354,14468,4517,14468,10706,14468,14468,14468,8506,16187,16187,6180,0,0,0,0,0
20,2020.0,Dataset,6124,4624,1500,1942,32,32,32,32,32,32,32,29,32,32,32,423,5385,5385,11,0,0,0,0,0,1419,30,30,30,30,30,30,30,27,30,30,30,381,4261,4261,10,0,0,0,0,0,523,2,2,2,2,2,2,2,2,2,2,2,42,1124,1124,1,0,0,0,0,0
21,2020.0,Journal,3420137,3199861,220276,2481105,2431863,2445099,2417682,2416229,2447593,2431863,2447593,2108840,2447593,2447593,2447593,1893664,3252493,3252493,2362138,3420137,3030919,3172202,3420137,3420137,2384052,2387390,2400529,2374473,2373050,2402885,2387390,2402885,2083620,2402885,2402885,2402885,1873132,3070693,3070693,2343103,3199861,2930835,2991000,3199861,3199861,97053,44473,44570,43209,43179,44708,44473,44708,25220,44708,44708,44708,20532,181800,181800,19035,220276,100084,181202,220276,220276
22,2020.0,Repository,332566,143872,188694,303253,204594,207729,205243,205161,207995,204594,207995,163783,207995,207995,207995,114789,325515,325515,216072,303284,2014,4011,303284,303284,133411,117465,117871,116546,116508,117983,117465,117983,99074,117983,117983,117983,54993,142300,142300,100492,135515,1440,1660,135515,135515,169842,87129,89858,88697,88653,90012,87129,90012,64709,90012,90012,90012,59796,183215,183215,115580,167769,574,2351,167769,167769
23,2020.0,Thesis,261139,22090,239049,118607,949,931,883,875,950,949,950,223,950,950,950,4168,181272,181272,13857,0,0,0,0,0,7612,109,109,107,107,110,109,110,63,110,110,110,1015,16822,16822,1931,0,0,0,0,0,110995,840,822,776,768,840,840,840,160,840,840,840,3153,164450,164450,11926,0,0,0,0,0
24,2019.0,,3871092,1730985,2140107,1501574,735397,733712,715236,714322,737066,735397,737066,395257,737066,737066,737066,420933,2425515,2425515,610342,0,0,0,0,0,826551,574259,573065,559002,558367,575418,574259,575418,329878,575418,575418,575418,352560,1261709,1261709,550773,0,0,0,0,0,675023,161138,160647,156234,155955,161648,161138,161648,65379,161648,161648,161648,68373,1163806,1163806,59569,0,0,0,0,0
25,2019.0,Book,72289,14185,58104,18192,4882,4889,4782,4771,4898,4882,4898,2075,4898,4898,4898,19519,44993,44993,2371,0,0,0,0,0,2495,852,855,834,833,856,852,856,451,856,856,856,4333,6332,6332,412,0,0,0,0,0,15697,4030,4034,3948,3938,4042,4030,4042,1624,4042,4042,4042,15186,38661,38661,1959,0,0,0,0,0
26,2019.0,BookChapter,237533,222853,14680,26009,23253,23254,22732,22699,23324,23253,23324,16440,23324,23324,23324,27820,143421,143421,42930,0,0,0,0,0,21832,22963,22963,22449,22416,23032,22963,23032,16266,23032,23032,23032,26893,135648,135648,42238,0,0,0,0,0,4177,290,291,283,283,292,290,292,174,292,292,292,927,7773,7773,692,0,0,0,0,0
27,2019.0,Conference,256222,239839,16383,228832,206337,226877,222542,222376,227438,206337,227438,167154,227438,227438,227438,138533,251004,251004,207482,0,0,0,0,0,219399,200944,213487,209317,209159,214017,200944,214017,157016,214017,214017,214017,130350,236006,236006,201967,0,0,0,0,0,9433,5393,13390,13225,13217,13421,5393,13421,10138,13421,13421,13421,8183,14998,14998,5515,0,0,0,0,0
28,2019.0,Dataset,9940,8004,1936,2245,177,177,176,176,177,177,177,150,177,177,177,639,8864,8864,9,0,0,0,0,0,1640,175,175,174,174,175,175,175,148,175,175,175,582,7411,7411,8,0,0,0,0,0,605,2,2,2,2,2,2,2,2,2,2,2,57,1453,1453,1,0,0,0,0,0
29,2019.0,Journal,3193230,2949910,243320,2267746,2190055,2201438,2176993,2175460,2203785,2190055,2203785,1868197,2203785,2203785,2203785,2007477,3024203,3024203,2092380,3193230,2786027,2942280,3193230,3193230,2168072,2136615,2147967,2125131,2123634,2150095,2136615,2150095,1837531,2150095,2150095,2150095,1971783,2820569,2820569,2071477,2949910,2687161,2751311,2949910,2949910,99674,53440,53471,51862,51826,53690,53440,53690,30666,53690,53690,53690,35694,203634,203634,20903,243320,98866,190969,243320,243320
30,2019.0,Repository,273036,108861,164175,245984,164209,166356,164111,164017,166536,164209,166536,127908,166536,166536,166536,98972,265678,265678,165606,246367,1684,3678,246367,246367,100365,87970,88271,87078,87041,88334,87970,88334,72425,88334,88334,88334,42057,107510,107510,73347,103289,658,888,103289,103289,145619,76239,78085,77033,76976,78202,76239,78202,55483,78202,78202,78202,56915,158168,158168,92259,143078,1026,2790,143078,143078
31,2019.0,Thesis,440852,23178,417674,227651,1388,1361,1303,1289,1391,1388,1391,317,1391,1391,1391,11384,237073,237073,18274,0,0,0,0,0,8129,139,142,141,141,142,139,142,68,142,142,142,1758,17362,17362,2197,0,0,0,0,0,219522,1249,1219,1162,1148,1249,1249,1249,249,1249,1249,1249,9626,219711,219711,16077,0,0,0,0,0
32,2018.0,,3801814,1517532,2284282,1452534,671719,670646,653841,652886,673571,671719,673571,345567,673571,673571,673571,459401,2323074,2323074,531950,0,0,0,0,0,730296,494402,493537,481666,481083,495603,494402,495603,273533,495603,495603,495603,363928,1088050,1088050,469044,0,0,0,0,0,722238,177317,177109,172175,171803,177968,177317,177968,72034,177968,177968,177968,95473,1235024,1235024,62906,0,0,0,0,0
33,2018.0,Book,107440,32802,74638,21144,6845,6857,6722,6705,6871,6845,6871,2898,6871,6871,6871,32495,72468,72468,3369,0,0,0,0,0,3059,2234,2231,2170,2166,2236,2234,2236,1065,2236,2236,2236,9559,21779,21779,952,0,0,0,0,0,18085,4611,4626,4552,4539,4635,4611,4635,1833,4635,4635,4635,22936,50689,50689,2417,0,0,0,0,0
34,2018.0,BookChapter,197830,178116,19714,27619,22443,22465,22026,22004,22480,22443,22480,15138,22480,22480,22480,29845,127311,127311,42726,0,0,0,0,0,22488,22083,22103,21669,21649,22118,22083,22118,14905,22118,22118,22118,28312,116468,116468,41964,0,0,0,0,0,5131,360,362,357,355,362,360,362,233,362,362,362,1533,10843,10843,762,0,0,0,0,0
35,2018.0,Conference,255356,235478,19878,225382,192653,223878,219260,219045,224378,192653,224378,165159,224378,224378,224378,156573,249677,249677,204544,0,0,0,0,0,215495,187414,207448,202953,202753,207897,187414,207897,153004,207897,207897,207897,145624,230904,230904,197449,0,0,0,0,0,9887,5239,16430,16307,16292,16481,5239,16481,12155,16481,16481,16481,10949,18773,18773,7095,0,0,0,0,0
36,2018.0,Dataset,22195,6262,15933,12444,42,42,42,42,42,42,42,38,42,42,42,1044,19698,19698,98,0,0,0,0,0,1737,41,41,41,41,41,41,41,37,41,41,41,394,5633,5633,16,0,0,0,0,0,10707,1,1,1,1,1,1,1,1,1,1,1,650,14065,14065,82,0,0,0,0,0
