,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_ror,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_orcid,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_issnl,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_ror,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_orcid,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_issnl,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_ror,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_orcid,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_issnl,non_dois_has_venue_sourceid,non_dois_has_venue_string
0,2918.0,book,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2203.0,journal-article,20,20,0,0,0,0,0,0,0,20,0,20,20,20,0,20,20,0,20,20,20,20,20,0,0,0,0,0,0,20,0,20,20,20,0,20,20,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2200.0,journal-article,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2122.0,journal-article,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2121.0,book,2,2,0,2,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2121.0,journal-article,38,38,0,25,28,28,28,28,28,35,11,35,35,35,3,38,38,5,36,36,36,36,38,25,28,28,28,28,28,35,11,35,35,35,3,38,38,5,36,36,36,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2121.0,journal-issue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2119.0,journal-article,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2117.0,journal-article,5,5,0,0,0,0,0,0,0,5,0,5,5,5,0,5,5,0,5,5,5,5,5,0,0,0,0,0,0,5,0,5,5,5,0,5,5,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2116.0,journal-article,16,16,0,0,0,0,0,0,0,16,1,16,16,16,0,16,16,0,16,16,16,16,16,0,0,0,0,0,0,16,1,16,16,16,0,16,16,0,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
