,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_grid,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_grid,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_grid,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_sourceid,non_dois_has_venue_string
0,2022.0,,5116,4171,945,3388,3866,2787,2496,2813,3866,5116,5116,5116,5116,76,4199,4199,2168,0,0,0,0,3022,3328,2472,2191,2497,3328,4171,4171,4171,4171,68,3553,3553,2111,0,0,0,0,366,538,315,305,316,538,945,945,945,945,8,646,646,57,0,0,0,0
1,2022.0,Book,714,192,522,171,298,205,197,205,298,714,714,714,714,148,598,598,24,0,0,0,0,4,85,48,44,48,85,192,192,192,192,3,139,139,3,0,0,0,0,167,213,157,153,157,213,522,522,522,522,145,459,459,21,0,0,0,0
2,2022.0,BookChapter,9134,9093,41,679,1217,1038,996,1049,1217,9134,9134,9134,9134,95,8678,8678,7999,0,0,0,0,665,1215,1038,996,1049,1215,9093,9093,9093,9093,93,8641,8641,7995,0,0,0,0,14,2,0,0,0,2,41,41,41,41,2,37,37,4,0,0,0,0
3,2022.0,Conference,362,346,16,351,304,326,317,326,304,362,362,362,362,48,345,345,317,0,0,0,0,342,304,313,304,313,304,346,346,346,346,48,330,330,316,0,0,0,0,9,0,13,13,13,0,16,16,16,16,0,15,15,1,0,0,0,0
4,2022.0,Dataset,5,4,1,4,0,0,0,0,0,5,5,5,5,0,5,5,0,0,0,0,0,3,0,0,0,0,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
5,2022.0,Journal,21833,21391,442,17948,18609,17913,17662,17987,18609,21833,21833,21833,21833,1519,21579,21579,19513,21833,20690,21833,21833,17694,18259,17682,17437,17750,18259,21391,21391,21391,21391,1515,21190,21190,19493,21391,20257,21391,21391,254,350,231,225,237,350,442,442,442,442,4,389,389,20,442,433,442,442
6,2022.0,Repository,47,22,25,43,32,29,27,29,32,47,47,47,47,8,45,45,24,40,5,40,40,21,22,21,19,21,22,22,22,22,22,5,22,22,17,17,0,17,17,22,10,8,8,8,10,25,25,25,25,3,23,23,7,23,5,23,23
7,2022.0,Thesis,43,39,4,15,1,1,1,1,1,43,43,43,43,0,36,36,2,0,0,0,0,13,1,1,1,1,1,39,39,39,39,0,33,33,1,0,0,0,0,2,0,0,0,0,0,4,4,4,4,0,3,3,1,0,0,0,0
8,2021.0,,1999170,1358147,641023,916914,858963,546813,518160,553504,858963,1999170,1999170,1999170,1999170,87962,1350259,1350259,530505,0,0,0,0,663281,692744,472591,448507,477140,692744,1358147,1358147,1358147,1358147,81012,1024104,1024104,493696,0,0,0,0,253633,166219,74222,69653,76364,166219,641023,641023,641023,641023,6950,326155,326155,36809,0,0,0,0
9,2021.0,Book,33442,13136,20306,5931,3635,2541,2435,2550,3635,33442,33442,33442,33442,4005,21445,21445,1216,0,0,0,0,1326,733,436,419,438,733,13136,13136,13136,13136,907,5039,5039,219,0,0,0,0,4605,2902,2105,2016,2112,2902,20306,20306,20306,20306,3098,16406,16406,997,0,0,0,0
