,cr_published_year,cr_type,cr_dois,openalex_dois,openalex_ids,openalex_has_abstract,openalex_has_affiliations,openalex_has_affiliations_id_countrycode,openalex_has_affiliations_id_ror,openalex_has_affiliations_id_source,openalex_has_affiliations_string,openalex_has_authors,openalex_has_authors_id_orcid,openalex_has_authors_id_source,openalex_has_authors_sequence,openalex_has_authors_string,openalex_has_citations,openalex_has_fields,openalex_has_references,openalex_has_venue,openalex_has_venue_id_issn,openalex_has_venue_id_issnl,openalex_has_venue_id_source,openalex_has_venue_string,crossref_dois,crossref_ids,crossref_has_abstract,crossref_has_affiliations,crossref_has_affiliations_id_ror,crossref_has_affiliations_string,crossref_has_authors,crossref_has_authors_id_orcid,crossref_has_authors_sequence,crossref_has_authors_string,crossref_has_citations,crossref_has_fields,crossref_has_references,crossref_has_venue,crossref_has_venue_id_issn,crossref_has_venue_string,count_openalex_crossref_overlap,crossref_has_abstract_in_overlap,crossref_abstract_adds_presence,crossref_abstract_adds_presence_overlap,crossref_has_affiliations_in_overlap,crossref_affiliations_adds_presence,crossref_affiliations_adds_presence_overlap,crossref_has_affiliations_id_ror_in_overlap,crossref_affiliations_id_ror_adds_presence,crossref_affiliations_id_ror_adds_presence_overlap,crossref_has_affiliations_string_in_overlap,crossref_affiliations_string_adds_presence,crossref_affiliations_string_adds_presence_overlap,crossref_has_authors_in_overlap,crossref_authors_adds_presence,crossref_authors_adds_presence_overlap,crossref_has_authors_id_orcid_in_overlap,crossref_authors_id_orcid_adds_presence,crossref_authors_id_orcid_adds_presence_overlap,crossref_has_authors_sequence_in_overlap,crossref_authors_sequence_adds_presence,crossref_authors_sequence_adds_presence_overlap,crossref_has_authors_string_in_overlap,crossref_authors_string_adds_presence,crossref_authors_string_adds_presence_overlap,crossref_has_citations_in_overlap,crossref_citations_adds_presence,crossref_citations_adds_presence_overlap,crossref_has_fields_in_overlap,crossref_fields_adds_presence,crossref_fields_adds_presence_overlap,crossref_has_references_in_overlap,crossref_references_adds_presence,crossref_references_adds_presence_overlap,crossref_has_venue_in_overlap,crossref_venue_adds_presence,crossref_venue_adds_presence_overlap,crossref_has_venue_id_issn_in_overlap,crossref_venue_id_issn_adds_presence,crossref_venue_id_issn_adds_presence_overlap,crossref_has_venue_string_in_overlap,crossref_venue_string_adds_presence,crossref_venue_string_adds_presence_overlap,count_crossref_openalex_overlap,openalex_has_abstract_in_overlap,openalex_abstract_adds_presence,openalex_abstract_adds_presence_overlap,openalex_has_affiliations_in_overlap,openalex_affiliations_adds_presence,openalex_affiliations_adds_presence_overlap,openalex_has_affiliations_id_countrycode_in_overlap,openalex_affiliations_id_countrycode_adds_presence,openalex_affiliations_id_countrycode_adds_presence_overlap,openalex_has_affiliations_id_ror_in_overlap,openalex_affiliations_id_ror_adds_presence,openalex_affiliations_id_ror_adds_presence_overlap,openalex_has_affiliations_id_source_in_overlap,openalex_affiliations_id_source_adds_presence,openalex_affiliations_id_source_adds_presence_overlap,openalex_has_affiliations_string_in_overlap,openalex_affiliations_string_adds_presence,openalex_affiliations_string_adds_presence_overlap,openalex_has_authors_in_overlap,openalex_authors_adds_presence,openalex_authors_adds_presence_overlap,openalex_has_authors_id_orcid_in_overlap,openalex_authors_id_orcid_adds_presence,openalex_authors_id_orcid_adds_presence_overlap,openalex_has_authors_id_source_in_overlap,openalex_authors_id_source_adds_presence,openalex_authors_id_source_adds_presence_overlap,openalex_has_authors_sequence_in_overlap,openalex_authors_sequence_adds_presence,openalex_authors_sequence_adds_presence_overlap,openalex_has_authors_string_in_overlap,openalex_authors_string_adds_presence,openalex_authors_string_adds_presence_overlap,openalex_has_citations_in_overlap,openalex_citations_adds_presence,openalex_citations_adds_presence_overlap,openalex_has_fields_in_overlap,openalex_fields_adds_presence,openalex_fields_adds_presence_overlap,openalex_has_references_in_overlap,openalex_references_adds_presence,openalex_references_adds_presence_overlap,openalex_has_venue_in_overlap,openalex_venue_adds_presence,openalex_venue_adds_presence_overlap,openalex_has_venue_id_issn_in_overlap,openalex_venue_id_issn_adds_presence,openalex_venue_id_issn_adds_presence_overlap,openalex_has_venue_id_issnl_in_overlap,openalex_venue_id_issnl_adds_presence,openalex_venue_id_issnl_adds_presence_overlap,openalex_has_venue_id_source_in_overlap,openalex_venue_id_source_adds_presence,openalex_venue_id_source_adds_presence_overlap,openalex_has_venue_string_in_overlap,openalex_venue_string_adds_presence,openalex_venue_string_adds_presence_overlap
0,2203,journal-article,20,20,20,0,0,0,0,0,0,20,0,20,20,20,5,20,0,20,20,20,20,20,20,20,0,0,0,0,20,0,20,20,8,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,20,0,0,8,3,3,20,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,20,20,20,0,0,20,0,0,5,0,0,20,0,0,0,0,0,20,0,0,20,0,0,20,20,20,20,20,20,20,0,0
1,2200,journal-article,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0
2,2122,journal-article,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0
3,2121,book,2,2,2,2,0,0,0,0,0,2,0,2,2,2,0,2,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,0,0,2,0,0,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2
4,2121,journal-article,36,36,36,23,29,29,29,29,29,35,10,35,35,35,2,36,4,35,34,34,35,36,36,36,23,0,0,0,25,0,25,25,4,14,0,36,35,36,36,23,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,25,0,0,4,2,2,14,0,0,0,0,0,36,1,1,35,1,1,36,0,0,36,23,0,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,35,10,10,10,10,10,35,35,35,35,10,10,35,10,10,2,0,0,36,22,22,4,4,4,35,0,0,34,0,0,34,34,34,35,35,35,36,0,0
5,2121,journal-issue,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,2,0,0,2,2,2,2,2,2,2,0,0
6,2117,journal-article,5,5,5,0,0,0,0,0,0,5,0,5,5,5,0,5,0,5,5,5,5,5,5,5,0,0,0,0,5,0,5,5,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,5,5,0,0,5,0,0,0,0,0,5,5,5,0,0,0,5,0,0,5,0,0,5,5,5,5,5,5,5,0,0
7,2116,journal-article,16,16,16,0,0,0,0,0,0,16,1,16,16,16,6,16,0,16,16,16,16,16,16,16,0,0,0,0,16,0,16,16,7,0,1,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,16,0,0,7,1,1,0,0,0,1,1,1,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,1,1,16,16,16,16,0,0,16,0,0,6,0,0,16,16,16,0,0,0,16,0,0,16,0,0,16,16,16,16,16,16,16,0,0
8,2115,journal-article,24,24,24,1,1,1,1,1,1,24,1,24,24,24,12,24,1,24,24,24,24,24,24,24,0,0,0,0,24,0,24,24,12,0,0,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,0,0,24,0,0,12,0,0,0,0,0,0,0,0,24,0,0,24,0,0,24,0,0,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,0,0,1,1,1,24,24,24,24,0,0,24,0,0,12,0,0,24,24,24,1,1,1,24,0,0,24,0,0,24,24,24,24,24,24,24,0,0
9,2114,journal-article,29,29,29,3,0,0,0,0,0,29,1,29,29,29,13,29,3,29,29,29,29,29,29,29,0,0,0,0,29,0,29,29,14,0,0,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,29,0,0,29,0,0,14,2,2,0,0,0,0,0,0,29,0,0,29,0,0,29,0,0,29,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1,1,1,29,29,29,29,0,0,29,0,0,13,1,1,29,29,29,3,3,3,29,0,0,29,0,0,29,29,29,29,29,29,29,0,0
10,2109,journal-article,10,10,10,8,7,7,7,7,7,10,5,10,10,10,7,10,8,10,10,10,10,10,10,10,0,0,0,0,8,0,8,8,5,8,2,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,8,0,0,5,0,0,8,0,0,2,0,0,10,0,0,10,0,0,10,0,0,10,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,2,2,5,5,5,10,10,10,10,2,2,10,2,2,7,2,2,10,2,2,8,6,6,10,0,0,10,0,0,10,10,10,10,10,10,10,0,0
11,2109,journal-issue,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0
12,2108,journal-article,20,20,20,0,0,0,0,0,0,20,1,20,20,20,0,20,0,20,20,20,20,20,20,20,0,0,0,0,20,0,20,20,0,18,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,20,0,0,0,0,0,18,0,0,0,0,0,20,0,0,20,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,1,20,20,20,20,0,0,20,0,0,0,0,0,20,2,2,0,0,0,20,0,0,20,0,0,20,20,20,20,20,20,20,0,0
13,2107,journal-article,7,7,7,2,3,2,1,2,3,7,2,7,7,7,2,7,0,7,7,7,7,7,7,7,0,1,0,1,7,0,7,7,2,1,0,7,5,7,7,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,7,0,0,7,0,0,2,0,0,1,0,0,0,0,0,7,0,0,5,0,0,7,0,0,7,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,3,2,2,7,0,0,2,2,2,7,7,7,7,0,0,7,0,0,2,0,0,7,6,6,0,0,0,7,0,0,7,2,2,7,7,7,7,7,7,7,0,0
14,2106,journal-article,32,32,32,4,6,5,5,5,6,22,4,22,22,22,9,32,1,32,32,32,32,32,32,32,0,0,0,0,22,0,22,22,10,8,0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,0,0,22,0,0,10,1,1,8,0,0,0,0,0,32,0,0,32,0,0,32,0,0,32,4,4,4,6,6,6,5,5,5,5,5,5,5,5,5,6,6,6,22,0,0,4,4,4,22,22,22,22,0,0,22,0,0,9,0,0,32,24,24,1,1,1,32,0,0,32,0,0,32,32,32,32,32,32,32,0,0
15,2106,journal-issue,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,2,2,0,0
16,2105,book,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
17,2105,book-chapter,8,8,8,0,0,0,0,0,0,5,0,5,5,5,1,8,0,8,0,0,8,8,8,8,0,0,0,0,5,0,5,5,1,0,0,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,5,5,0,0,5,0,0,1,0,0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,0,8,8,8,8,0,0
18,2105,journal-article,10,10,10,1,1,0,0,0,1,10,0,10,10,10,1,10,0,10,10,10,10,10,10,10,0,0,0,0,10,0,10,10,1,1,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,10,0,0,1,0,0,1,0,0,0,0,0,10,0,0,10,0,0,10,0,0,10,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,10,0,0,0,0,0,10,10,10,10,0,0,10,0,0,1,0,0,10,9,9,0,0,0,10,0,0,10,0,0,10,10,10,10,10,10,10,0,0
19,2105,proceedings-article,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
20,2104,journal-article,11,11,11,6,6,6,6,6,6,10,5,11,11,10,4,11,0,11,11,11,11,11,11,11,0,0,0,0,10,0,11,10,5,0,3,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,0,0,10,0,0,5,1,1,0,0,0,3,3,3,11,0,0,11,0,0,11,0,0,11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,0,0,5,5,5,11,11,11,11,0,0,10,0,0,4,0,0,11,11,11,0,0,0,11,0,0,11,0,0,11,11,11,11,11,11,11,0,0
