published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_id_ror,objects_has_affiliations_string,objects_has_authors,objects_has_authors_id_orcid,objects_has_authors_sequence,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_funders,objects_has_funders_id_doi,objects_has_funders_id_source,objects_has_funders_string,objects_has_references,objects_has_venue,objects_has_venue_id_issn,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_id_ror,dois_has_affiliations_string,dois_has_authors,dois_has_authors_id_orcid,dois_has_authors_sequence,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_funders,dois_has_funders_id_doi,dois_has_funders_id_source,dois_has_funders_string,dois_has_references,dois_has_venue,dois_has_venue_id_issn,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_id_ror,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_id_orcid,non_dois_has_authors_sequence,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_funders,non_dois_has_funders_id_doi,non_dois_has_funders_id_source,non_dois_has_funders_string,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_id_issn,non_dois_has_venue_string
2023,book-chapter,4,4,0,0,0,0,0,4,2,4,4,0,0,0,0,0,0,3,4,2,4,0,0,0,0,4,2,4,4,0,0,0,0,0,0,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,journal-article,184,184,0,42,83,1,83,184,126,184,184,99,182,75,57,57,75,162,184,184,184,42,83,1,83,184,126,184,184,99,182,75,57,57,75,162,184,184,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,posted-content,6,6,0,3,1,0,1,6,2,6,6,0,0,0,0,0,0,0,0,0,0,3,1,0,1,6,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,proceedings-article,4,4,0,0,4,0,4,4,1,4,4,0,0,0,0,0,0,1,4,0,4,0,4,0,4,4,1,4,4,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,book-chapter,75,75,0,1,1,0,1,74,7,74,74,25,0,0,0,0,0,70,75,22,75,1,1,0,1,74,7,74,74,25,0,0,0,0,0,70,75,22,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,edited-book,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,journal-article,2626,2626,0,595,782,1,782,2625,1585,2625,2625,2201,2555,1117,1029,1029,1117,2486,2626,2625,2626,595,782,1,782,2625,1585,2625,2625,2201,2555,1117,1029,1029,1117,2486,2626,2625,2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,posted-content,23,23,0,21,12,0,12,23,14,23,23,5,0,1,1,1,1,0,0,0,0,21,12,0,12,23,14,23,23,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,proceedings-article,42,42,0,4,32,0,32,42,0,42,42,20,0,10,8,8,10,30,42,2,42,4,32,0,32,42,0,42,42,20,0,10,8,8,10,30,42,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,book,80,80,0,14,4,0,4,49,3,49,49,55,0,3,2,2,3,0,27,27,27,14,4,0,4,49,3,49,49,55,0,3,2,2,3,0,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
