,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_id_countrycode,objects_has_affiliations_id_ror,objects_has_affiliations_id_source,objects_has_affiliations_string,objects_has_authors,objects_has_authors_id_orcid,objects_has_authors_id_source,objects_has_authors_sequence,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_funders,objects_has_funders_id_source,objects_has_funders_string,objects_has_references,objects_has_venue,objects_has_venue_id_issn,objects_has_venue_id_issnl,objects_has_venue_id_source,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_id_countrycode,dois_has_affiliations_id_ror,dois_has_affiliations_id_source,dois_has_affiliations_string,dois_has_authors,dois_has_authors_id_orcid,dois_has_authors_id_source,dois_has_authors_sequence,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_funders,dois_has_funders_id_source,dois_has_funders_string,dois_has_references,dois_has_venue,dois_has_venue_id_issn,dois_has_venue_id_issnl,dois_has_venue_id_source,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_id_countrycode,non_dois_has_affiliations_id_ror,non_dois_has_affiliations_id_source,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_id_orcid,non_dois_has_authors_id_source,non_dois_has_authors_sequence,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_funders,non_dois_has_funders_id_source,non_dois_has_funders_string,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_id_issn,non_dois_has_venue_id_issnl,non_dois_has_venue_id_source,non_dois_has_venue_string
0,2025,article,348,343,5,53,22,22,22,22,22,345,219,345,345,345,3,348,0,0,0,27,348,336,336,348,348,52,20,20,20,20,20,340,217,340,340,340,3,343,0,0,0,26,343,336,336,343,343,1,2,2,2,2,2,5,2,5,5,5,0,5,0,0,0,1,5,0,0,5,5
1,2025,book,9,7,2,3,1,1,1,1,1,9,3,9,9,9,0,9,0,0,0,0,2,0,0,2,2,3,0,0,0,0,0,7,2,7,7,7,0,7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,2,0,2,0,0,0,0,2,0,0,2,2
2,2025,book-chapter,23,22,1,17,0,0,0,0,0,9,2,9,9,9,0,23,0,0,0,0,23,0,0,23,23,17,0,0,0,0,0,8,2,8,8,8,0,22,0,0,0,0,22,0,0,22,22,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1
3,2025,book-part,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2025,dataset,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2025,grant,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2025,other,10,0,10,0,10,10,10,10,10,10,0,10,10,10,0,10,0,0,0,0,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,0,10,10,10,0,10,0,0,0,0,9,0,0,9,9
7,2025,paratext,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2025,report,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2024,article,8037,8018,19,6014,5600,5600,5600,5600,5600,7916,7117,7916,7916,7916,559,8037,1896,1896,1896,5973,7922,7847,7847,7922,7922,6014,5588,5588,5588,5588,5588,7897,7112,7897,7897,7897,559,8018,1896,1896,1896,5973,7903,7847,7847,7903,7903,0,12,12,12,12,12,19,5,19,19,19,0,19,0,0,0,0,19,0,0,19,19
10,2024,book,539,528,11,318,44,44,44,44,44,430,162,430,430,430,4,539,2,2,2,1,115,82,82,115,115,318,37,37,37,37,37,419,161,419,419,419,4,528,2,2,2,1,104,82,82,104,104,0,7,7,7,7,7,11,1,11,11,11,0,11,0,0,0,0,11,0,0,11,11
11,2024,book-chapter,3973,3954,19,1787,891,891,891,891,891,3035,2043,3035,3035,3035,24,3973,0,0,0,2037,3938,130,130,3938,3938,1787,889,889,889,889,889,3016,2043,3016,3016,3016,24,3954,0,0,0,2037,3920,130,130,3920,3920,0,2,2,2,2,2,19,0,19,19,19,0,19,0,0,0,0,18,0,0,18,18
12,2024,book-part,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2024,editorial,2,2,0,0,2,2,2,2,2,2,0,2,2,2,0,2,0,0,0,1,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,0,2,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2024,erratum,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2024,grant,797,797,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2024,letter,2,2,0,0,1,1,1,1,1,2,2,2,2,2,0,2,0,0,0,2,2,2,2,2,2,0,1,1,1,1,1,2,2,2,2,2,0,2,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2024,other,57,34,23,15,21,21,21,21,21,38,12,38,38,38,0,57,0,0,0,10,21,0,0,21,21,15,0,0,0,0,0,15,9,15,15,15,0,34,0,0,0,10,0,0,0,0,0,0,21,21,21,21,21,23,3,23,23,23,0,23,0,0,0,0,21,0,0,21,21
18,2024,paratext,286,286,0,11,1,1,1,1,1,1,1,1,1,1,1,286,0,0,0,0,275,75,75,275,275,11,1,1,1,1,1,1,1,1,1,1,1,286,0,0,0,0,275,75,75,275,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2024,report,4,4,0,0,3,3,3,3,3,4,2,4,4,4,0,4,0,0,0,0,3,0,0,3,3,0,3,3,3,3,3,4,2,4,4,4,0,4,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2023,article,4646960,4625455,21505,3708673,3000395,3000394,3000395,3000395,3000395,4484600,3640860,4484600,4484600,4484600,613734,4646887,774086,774086,774086,2481411,3858977,3391759,3391759,3858977,3858977,3701039,2983691,2983690,2983691,2983691,2983691,4463410,3626086,4463410,4463410,4463410,613457,4625382,774081,774081,774081,2479034,3838154,3391757,3391757,3838154,3838154,7634,16704,16704,16704,16704,16704,21190,14774,21190,21190,21190,277,21505,5,5,5,2377,20823,2,2,20823,20823
